,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,XVAR,YVAR,ZVAR,XMFCC0,XMFCC1,XMFCC2,XMFCC3,XMFCC4,XMFCC5,XMFCC6,XMFCC7,XMFCC8,XMFCC9,XMFCC10,XMFCC11,XMFCC12,YMFCC0,YMFCC1,YMFCC2,YMFCC3,YMFCC4,YMFCC5,YMFCC6,YMFCC7,YMFCC8,YMFCC9,YMFCC10,YMFCC11,YMFCC12,ZMFCC0,ZMFCC1,ZMFCC2,ZMFCC3,ZMFCC4,ZMFCC5,ZMFCC6,ZMFCC7,ZMFCC8,ZMFCC9,ZMFCC10,ZMFCC11,ZMFCC12,XYCOS,XZCOS,YZCOS,XYCOR,XZCOR,YZCOR,RESULTANT
11,0.005,0.015,0.06,0.105,0.215,0.255,0.12,0.135,0.08,0.01,0.445,0.455,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.32,0.095,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.7169724127117735,-0.18998490979662008,-0.309527385456681,0.39761629916586777,0.41643265221497844,0.31709306358381506,0.22924388804530177,0.13040328083813907,0.23289988556240543,0.31018,0.174538,0.243994,0.556938,0.417778,0.493957,0.467926,0.661393,0.660331,0.658561,0.656086,0.652909,0.649032,0.644461,0.639199,0.633253,0.626629,0.619333,0.611375,0.370623,0.52386,0.523018,0.521617,0.519656,0.51714,0.514069,0.510448,0.506281,0.501571,0.496325,0.490546,0.484243,0.427362,0.604057,0.603087,0.601471,0.59921,0.596308,0.592768,0.588593,0.583787,0.578356,0.572306,0.565644,0.558375,-0.690603,-0.655079,0.565685,-0.163898,-0.141169,0.15208,0.45551913417894263
12,0.995,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.305,0.68,0.005,0.005,0.0,0.0,0.0,0.0,0.0,-0.6916181846689607,-0.39093837040818624,0.0032781965745313805,0.2411816112643723,0.2391307102213827,0.19533583815028904,0.022337627891864654,0.019542662938036044,0.05099911403152572,0.0579441,0.0513363,0.0663828,0.240716,0.226575,0.257649,0.349991,0.494697,0.493902,0.492579,0.490728,0.488351,0.485452,0.482032,0.478097,0.473649,0.468695,0.463238,0.457285,0.294533,0.41631,0.415641,0.414527,0.412969,0.410969,0.408529,0.405652,0.40234,0.398597,0.394427,0.389835,0.384826,0.237095,0.335124,0.334586,0.333689,0.332435,0.330825,0.328861,0.326544,0.323878,0.320865,0.317509,0.313812,0.30978,0.979979,0.00727697,-0.120916,-0.427216,0.445783,-0.616083,0.4297258895525353
13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45739360780333227,-0.2416579704051832,-0.718800604607727,0.39972021678308,0.41643265221497844,0.3131023121387283,0.005816425857530286,0.008306327521843264,0.006966720809184541,0.00794833,0.0120902,0.0075348,0.0891534,0.109955,0.0868032,0.262608,0.371185,0.370589,0.369596,0.368207,0.366423,0.364248,0.361682,0.358729,0.355392,0.351675,0.34758,0.343114,0.187033,0.264364,0.263939,0.263232,0.262242,0.260972,0.259423,0.257596,0.255492,0.253116,0.250468,0.247552,0.244371,0.304329,0.430156,0.429465,0.428314,0.426705,0.424638,0.422117,0.419144,0.415722,0.411854,0.407546,0.402801,0.397625,-0.998238,-0.999634,0.998479,0.138359,0.203123,-0.0150185,0.4250560356555199
14,0.305,0.32,0.265,0.09,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.37,0.245,0.18,0.055,0.02,0.03,0.005,0.0,0.0,-0.0898885120359138,-0.7153905059347293,0.1018629234901655,0.4640475305381099,0.2702383146352139,0.3545277456647399,0.16572862722215223,0.10214084054751997,0.25027501938056035,0.223256,0.142921,0.245552,0.4725,0.378049,0.495532,0.396522,0.560466,0.559566,0.558066,0.555969,0.553276,0.549991,0.546117,0.541659,0.53662,0.531006,0.524824,0.51808,0.406273,0.57425,0.573327,0.571791,0.569642,0.566883,0.563517,0.559548,0.55498,0.549817,0.544066,0.537732,0.530822,0.423175,0.59814,0.597179,0.595579,0.593341,0.590467,0.586961,0.582827,0.578068,0.572691,0.5667,0.560103,0.552905,0.303508,-0.040883,-0.308367,-0.0791572,0.059903,-0.117173,0.4596003437717286
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.12355111034090065,-0.11865479470566595,0.8609151912505174,0.2965845577925169,0.23526860789237256,0.18593468208092484,0.0017198679141441936,0.0011154782771585694,0.0020236904278489423,0.00233952,0.00150056,0.00198186,0.0483685,0.0387371,0.044518,0.0707642,0.100022,0.0998615,0.0995939,0.0992196,0.0987391,0.0981528,0.0974615,0.0966658,0.0957665,0.0947648,0.0936615,0.0924579,0.0803258,0.113537,0.113355,0.113051,0.112626,0.112081,0.111415,0.11063,0.109727,0.108706,0.107569,0.106317,0.104951,0.329428,0.465632,0.464884,0.463638,0.461895,0.459659,0.456929,0.453711,0.450007,0.44582,0.441157,0.436021,0.430418,0.999672,-0.999756,-0.999897,0.0199152,-0.0735732,0.18407,0.39747612816293737
16,0.005,0.585,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009071538797976546,0.7338350888520183,-0.11192848684400543,0.7377733429855282,0.40314220553341473,0.44986184971098264,0.04403418848757717,0.012571617806441254,0.03635996160803278,0.060403,0.0181133,0.0335187,0.24577,0.134586,0.183081,0.167569,0.236852,0.236471,0.235837,0.234951,0.233813,0.232425,0.230788,0.228904,0.226774,0.224402,0.22179,0.21894,0.34261,0.484265,0.483487,0.482191,0.480379,0.478052,0.475214,0.471867,0.468014,0.463661,0.45881,0.453469,0.447642,0.132111,0.186733,0.186433,0.185933,0.185235,0.184337,0.183243,0.181952,0.180467,0.178788,0.176918,0.174858,0.172611,-0.136858,0.412602,-0.927377,-0.356666,0.786223,-0.172654,0.4272240432910528
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8200348245157988,-0.06488389552474118,-0.014301187072177455,0.43323094180639526,0.39080087078716397,0.3468208092485549,0.008484593298897294,0.01577986807070126,0.023883218280482853,0.0127802,0.0212994,0.0245557,0.11305,0.145943,0.156702,0.344645,0.487141,0.486358,0.485055,0.483232,0.480892,0.478037,0.47467,0.470794,0.466415,0.461536,0.456162,0.450301,0.0677776,0.0958006,0.0956467,0.0953904,0.0950319,0.0945717,0.0940102,0.093348,0.0925859,0.0917246,0.0907651,0.0897084,0.0885557,0.0458185,0.0647625,0.0646584,0.0644851,0.0642428,0.0639317,0.0635521,0.0631045,0.0625892,0.062007,0.0613584,0.060644,0.0598648,0.943264,0.394177,0.546595,-0.145214,0.0574384,0.579067,0.43128409105632065
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5931357743503413,-0.06825051239123416,-0.5971935803752804,0.2851369242107048,0.29098977170632817,0.2389208092485549,0.010441280808429093,0.006126630718385806,0.006797750009228839,0.0161082,0.00823649,0.00692041,0.126918,0.0907551,0.083189,0.303067,0.428372,0.427684,0.426538,0.424935,0.422877,0.420366,0.417406,0.413998,0.410147,0.405856,0.401131,0.395977,0.0409523,0.0578842,0.0577912,0.0576364,0.0574198,0.0571417,0.0568024,0.0564023,0.0559418,0.0554214,0.0548417,0.0542032,0.0535067,0.277434,0.392141,0.391511,0.390462,0.388994,0.387111,0.384812,0.382102,0.378982,0.375457,0.371529,0.367204,0.362485,0.992835,0.999327,0.991993,0.358111,-0.094369,0.112381,0.4119978924547288
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7748694080657539,-0.06293538239776575,0.035738863375983206,0.40434870510588067,0.44393616531134095,0.32930462427745666,0.0021402749136336208,0.0032489262346628847,0.004404149285687918,0.00281488,0.00437822,0.00409515,0.0530554,0.0661681,0.0639934,0.336647,0.475835,0.475071,0.473798,0.472017,0.469731,0.466942,0.463653,0.459868,0.45559,0.450824,0.445576,0.43985,0.0129605,0.0183191,0.0182897,0.0182407,0.0181721,0.0180841,0.0179768,0.0178501,0.0177044,0.0175397,0.0173562,0.0171542,0.0169337,-0.105028,-0.148453,-0.148214,-0.147817,-0.147262,-0.146548,-0.145678,-0.144652,-0.143471,-0.142137,-0.14065,-0.139012,-0.137226,0.997236,-0.98798,-0.982378,-0.122465,0.0904582,0.262988,0.4074658063735969
20,0.4,0.18,0.19,0.125,0.065,0.02,0.015,0.005,0.0,0.0,0.935,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.275,0.15,0.095,0.06,0.02,0.01,0.0,0.005,0.0,-0.10723145099398411,-0.7818377014842454,-0.11072889890150094,0.3278041908786758,0.5850111727982676,0.27989075144508674,0.2764738646385211,0.34939922662135225,0.3104599652995681,0.367186,0.419484,0.319591,0.605959,0.647676,0.565324,0.460431,0.650799,0.649754,0.648013,0.645577,0.642451,0.638636,0.634138,0.628961,0.62311,0.616592,0.609413,0.601582,0.457911,0.647237,0.646197,0.644466,0.642044,0.638934,0.635141,0.630667,0.625518,0.619699,0.613217,0.606078,0.59829,0.464537,0.656602,0.655547,0.653791,0.651334,0.648179,0.644331,0.639792,0.634569,0.628666,0.62209,0.614847,0.606946,0.26625,-0.384985,0.21872,0.115214,-0.473181,0.00925107,0.549715179076567
21,0.14,0.595,0.235,0.025,0.005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.245,0.635,0.095,0.01,0.0,0.0,0.0,0.0,0.0,-0.08849223050198467,-0.7111479815914533,0.08077087485197701,0.23995160859045345,0.2026377018590615,0.2263971098265896,0.08491423039433463,0.05490613752224467,0.1031581084573074,0.131742,0.0961949,0.103923,0.362963,0.310153,0.322371,0.36682,0.518484,0.517651,0.516264,0.514324,0.511833,0.508794,0.50521,0.501085,0.496424,0.491231,0.485512,0.479273,0.392771,0.555165,0.554273,0.552787,0.55071,0.548043,0.544789,0.540952,0.536535,0.531544,0.525984,0.51986,0.51318,0.315144,0.445442,0.444727,0.443535,0.441868,0.439728,0.437117,0.434038,0.430495,0.42649,0.422029,0.417115,0.411755,0.487092,-0.150101,-0.480367,-0.0542043,0.129135,0.0838507,0.4258727094481081
22,0.02,0.06,0.355,0.39,0.105,0.04,0.015,0.0,0.01,0.005,0.0,0.0,0.005,0.165,0.325,0.205,0.12,0.05,0.05,0.08,0.15,0.355,0.33,0.13,0.025,0.005,0.0,0.005,0.0,0.0,0.2630133934097492,0.6696093814518126,-0.008726434258537195,0.22648288365844274,0.22133313368195534,0.19006589595375722,0.14093401674944137,0.23156134177181317,0.19620048728266087,0.216649,0.307042,0.216917,0.465456,0.554114,0.465743,0.440185,0.622183,0.621183,0.619519,0.61719,0.614201,0.610555,0.606254,0.601304,0.595711,0.589479,0.582617,0.57513,0.486362,0.687451,0.686347,0.684507,0.681935,0.678632,0.674603,0.669851,0.664382,0.658202,0.651317,0.643734,0.635462,0.43146,0.60985,0.60887,0.607238,0.604956,0.602027,0.598452,0.594237,0.589385,0.583902,0.577794,0.571068,0.56373,0.783699,-0.0208171,-0.00132379,0.44674,0.000684849,0.0576654,0.4405287865635351
23,0.225,0.575,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.875,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09765553437476791,-0.721397307787596,-0.08487671971425545,0.2307696321078959,0.1939931811375521,0.2412664739884393,0.07694266333357647,0.02009974978926101,0.05478616781719517,0.0964283,0.0292723,0.0518953,0.310529,0.171092,0.227805,0.283789,0.401123,0.400479,0.399405,0.397904,0.395977,0.393626,0.390854,0.387663,0.384056,0.380039,0.375615,0.370788,0.348256,0.492245,0.491454,0.490137,0.488295,0.48593,0.483045,0.479643,0.475727,0.471301,0.466371,0.460942,0.455019,0.21108,0.298352,0.297873,0.297075,0.295958,0.294525,0.292776,0.290714,0.288341,0.285658,0.28267,0.279379,0.275789,0.64536,0.444472,0.768745,-0.290318,-0.12259,0.0330163,0.42516529978535855
24,0.23,0.125,0.15,0.085,0.025,0.03,0.05,0.025,0.025,0.255,0.33,0.045,0.08,0.185,0.16,0.1,0.025,0.02,0.035,0.02,0.31,0.21,0.145,0.1,0.095,0.075,0.03,0.015,0.01,0.01,0.8037027867864894,0.13152951598735727,0.023006190489944064,0.6413055245772273,0.48326959847036327,0.39636647398843927,0.9307411263104151,0.42894416420247,0.4856648455092474,1.22985,0.544253,0.487206,1.10899,0.737735,0.698001,0.595889,0.842264,0.84091,0.838657,0.835505,0.831459,0.826522,0.8207,0.814,0.806428,0.797992,0.788702,0.778567,0.465836,0.658439,0.657381,0.65562,0.653156,0.649993,0.646133,0.641582,0.636344,0.630424,0.62383,0.616567,0.608644,0.49041,0.693173,0.69206,0.690205,0.687611,0.684281,0.680218,0.675427,0.669913,0.663681,0.656738,0.649092,0.640752,0.445892,-0.222369,-0.496968,0.396652,-0.274431,-0.51788,0.7646200156338399
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4763267562861552,-0.2622114280137238,-0.7556248736389105,0.2881701916743297,0.28644290354534774,0.23723526011560692,0.005006763432375623,0.006533075986459184,0.006576396323230832,0.00667655,0.00783264,0.00665913,0.0817101,0.0885022,0.0816035,0.267957,0.378745,0.378137,0.377123,0.375706,0.373887,0.371667,0.369049,0.366036,0.362631,0.358837,0.35466,0.350103,0.198163,0.280094,0.279644,0.278895,0.277847,0.276501,0.27486,0.272924,0.270695,0.268177,0.265372,0.262282,0.258912,0.309888,0.438013,0.437309,0.436137,0.434498,0.432394,0.429826,0.426799,0.423314,0.419376,0.41499,0.410158,0.404888,0.99917,0.999755,0.9993,-0.373407,-0.199255,-0.328998,0.44702849072982387
26,0.055,0.135,0.495,0.255,0.055,0.005,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.675,0.205,0.015,0.005,0.0,0.0,0.0,0.0,0.1271755007055678,-0.6787986396294267,0.161745082748462,0.4173922117221994,0.33295226796286487,0.2905387283236994,0.10788006179920563,0.08939012804902524,0.09242127800952418,0.15727,0.165885,0.098962,0.396573,0.407289,0.314582,0.354705,0.50136,0.500555,0.499213,0.497337,0.494929,0.49199,0.488525,0.484536,0.480029,0.475007,0.469477,0.463444,0.41634,0.588478,0.587532,0.585958,0.583756,0.580929,0.57748,0.573412,0.56873,0.56344,0.557546,0.551055,0.543974,0.3033,0.428702,0.428013,0.426866,0.425262,0.423202,0.42069,0.417727,0.414316,0.410462,0.406168,0.40144,0.396281,-0.506819,0.400788,-0.749581,0.21539,-0.0699619,-0.0365482,0.41759152490401596
